date,serial_number,model,capacity_bytes,failure,reallocated-sectors-count-normal,reallocated-sectors-count-raw,power-on-hours-normal,power-on-hours-raw,power-cycle-count-normal,power-cycle-count-raw,reported-uncorrectable-errors-normal,reported-uncorrectable-errors-raw,temperature-difference-normal,temperature-difference-raw,hardware-ecc-recovered-normal,hardware-ecc-recovered-raw,ultradma-crc-error-count-normal,ultradma-crc-error-count-raw,total-lbas-written-normal,total-lbas-written-raw,total-lbas-read-normal,total-lbas-read-raw
2021-04-01,ZHZ3ARYG,ST14000NM0138,1.40005E+13,0,100,0,98,2508,100,20,100,0,71,29,4,58930488,200,0,100,32509361397,100,28830068165
2021-06-23,ZA17ZPP5,ST8000NM0055,8.00156E+12,1,91,39000,62,34106,100,12,47,53,58,42,83,198452616,200,0,100,70722011536,100,3.05888E+11
2021-04-01,ZLW0C6Z0,ST12000NM001G,1.20001E+13,0,100,0,92,7205,100,4,100,0,74,26,,,200,0,100,54319393376,100,95369141610
2021-04-30,ZA180YVW,ST8000NM0055,8E+12,1,99,6336,62,33317,100,13,83,17,59,41,75,34680744,200,0,100,71651337656,100,2.79E+11
2021-04-01,PL1331LAHBS5TH,HGST HMS5C4040BLE640,4.00079E+12,0,100,0,94,42053,100,3,,,,,,,200,0,,,,
2021-04-01,AAG6382H,HGST HUH721212ALN604,1.20001E+13,0,100,0,98,19984,100,5,,,,,,,200,0,,,,
2021-04-01,ZA12RBBM,ST8000DM002,8E+12,1,91,36992,54,40915,100,8,1,189,70,30,16,51336344,200,0,100,79347831656,100,3.39E+11
2021-04-01,ZHZ4FTMK,ST14000NM0138,1.40005E+13,0,100,0,97,3346,100,28,100,0,74,26,2,105325728,200,0,100,37959565053,100,33435906513
2021-04-01,Z304JT0X,ST4000DM000,4.00079E+12,0,100,0,46,48048,100,15,100,0,66,34,,,200,0,100,63910161368,100,2.75643E+11
2021-04-08,Z302SZLY,ST4000DM000,4E+12,1,97,3168,45,48619,100,27,1,175,72,28,,,200,0,100,65870959120,100,2.83E+11
2021-04-01,7080A0ESF97G,TOSHIBA MG07ACA14TA,1.40005E+13,0,100,0,93,2899,100,3,,,,,,,200,0,,,,
2021-06-28,17OYTGL9T,TOSHIBA MQ01ABF050,5.00108E+11,1,100,0,23,31142,100,19,,,,,,,200,0,,,,
2021-04-01,ZJV0RBVP,ST12000NM0007,1.20001E+13,0,100,0,79,18848,100,10,100,0,73,27,82,175869208,200,0,100,31817135584,100,67724106126
2021-06-24,S301NJHQ,ST4000DM000,4.00079E+12,1,100,48,44,49557,100,23,1,118,73,27,,,200,0,100,63466391680,100,7.03079E+11
2021-06-06,S300Z7KY,ST4000DM000,4.00079E+12,1,100,0,40,53091,100,2,99,1,80,20,,,200,0,100,69897246944,100,2.77506E+11
2021-06-10,88P0A09CF97G,TOSHIBA MG07ACA14TA,1.40005E+13,1,100,0,42,23564,100,7,,,,,,,200,0,,,,
2021-04-01,8DGR042H,HGST HUH721212ALE604,1.20001E+13,0,100,0,100,5346,100,4,,,,,,,200,0,,,,
2021-04-01,ZA11NYQ9,ST8000DM002,8.00156E+12,0,100,0,54,41130,100,16,100,0,55,45,1,165397428,200,0,100,87364643280,100,2.86132E+11
2021-04-01,ZLW17SAA,ST14000NM001G,1.40005E+13,0,100,0,97,3336,100,3,100,0,67,33,,,200,0,100,41385356320,100,63628161332
2021-05-14,5641SFR1S,TOSHIBA MQ01ABF050,5.00108E+11,1,100,0,1,39949,100,10,,,,,,,200,0,,,,
2021-04-15,Z68WT23IT,TOSHIBA MQ01ABF050M,5E+11,1,100,0,11,35795,100,10,,,,,,,200,0,,,,
2021-04-01,ZCH01VD8,ST12000NM0007,1.20001E+13,0,100,0,69,27534,100,3,100,0,71,29,75,34524016,200,0,100,68198207952,100,2.60206E+11
2021-04-01,PL2331LAGSULLJ,HGST HMS5C4040ALE640,4.00079E+12,0,100,0,93,49161,100,13,,,,,,,200,0,,,,
2021-04-25,ZL23AYPQ,ST16000NM001G,1.6E+13,1,100,0,99,1080,100,1,100,0,66,34,,,200,0,100,13642349416,100,13027762460
2021-04-01,ZJV0087Y,ST12000NM0007,1.20001E+13,0,100,0,71,26082,100,13,100,0,58,42,79,84644320,200,0,100,57144389984,100,2.8254E+11
2021-04-01,S300Z59P,ST4000DM000,4.00079E+12,0,100,0,43,50561,100,6,100,0,78,22,,,200,0,100,68109399328,100,2.68209E+11
2021-06-14,Y0E0A04MF97G,TOSHIBA MG07ACA14TA,1.40005E+13,1,100,0,91,3674,100,2,,,,,,,200,0,,,,
2021-06-25,ZA181441,ST8000NM0055,8.00156E+12,1,57,41816,62,34159,100,10,1,395,59,41,75,33433368,200,0,100,70662374728,100,3.26576E+11
2021-06-03,ZA2191QH,ST10000NM0086,1.00008E+13,1,64,10820,63,32491,100,10,11,89,72,28,78,68452632,200,0,100,86980592704,100,2.76025E+11
2021-06-10,S300YCSV,ST4000DM000,4.00079E+12,1,99,1440,41,52246,100,6,1,150,79,21,,,200,0,100,68961951072,100,2.95759E+11
2021-04-01,ZLW0GQ8F,ST12000NM001G,1.20001E+13,0,100,0,92,7732,100,1,100,0,70,30,,,200,0,100,55113797608,100,1.33343E+11
2021-04-22,ZA11X9W4,ST8000DM002,8E+12,1,90,43024,53,41632,100,5,1,336,62,38,24,109972016,200,0,100,88037476904,100,2.87E+11
2021-04-11,ZA11PY9F,ST8000DM002,8E+12,1,100,72,53,41380,100,11,100,0,65,35,17,115300168,200,0,100,85930249096,100,3.09E+11
2021-04-01,ZHZ42T0V,ST12000NM0008,1.20001E+13,0,100,0,86,12527,100,2,100,0,76,24,1,89106712,200,0,100,66550269448,100,1.59369E+11
2021-04-01,PL2331LAHDUHAJ,HGST HMS5C4040BLE640,4.00079E+12,0,100,0,95,35475,100,11,,,,,,,200,0,,,,
2021-06-02,ZLW18T1C,ST14000NM001G,1.40005E+13,1,99,5312,93,6557,100,1,100,0,65,35,,,200,0,100,58690017368,100,1.22821E+11
2021-04-01,40M0A061F97G,TOSHIBA MG07ACA14TA,1.40005E+13,0,100,0,85,6111,100,4,,,,,,,200,0,,,,
2021-04-01,8HH7W2AH,HGST HUH721212ALE604,1.20001E+13,0,100,0,100,5867,100,3,,,,,,,200,0,,,,
2021-06-23,ZHZ4Y9X4,ST12000NM0008,1.20001E+13,1,99,6104,86,12892,100,11,66,34,57,43,1,33094000,200,0,100,63941242872,100,1.44832E+11
2021-06-01,88Q0A0KRF97G,TOSHIBA MG07ACA14TA,1.40005E+13,1,100,4,42,23360,100,3,,,,,,,200,0,,,,
2021-04-18,ZLW0G6NW,ST12000NM001G,1.2E+13,1,100,0,93,6978,100,4,83,17,67,33,,,200,0,100,50395166560,100,1.01E+11
2021-04-23,ZLW0G8JJ,ST12000NM001G,1.2E+13,1,100,0,92,7762,100,3,100,0,71,29,,,200,0,100,55441293952,100,89236672922
2021-06-08,40N0A0PEF97G,TOSHIBA MG07ACA14TA,1.40005E+13,1,100,0,81,7659,100,2,,,,,,,200,0,,,,
2021-04-01,ZHZ661N7,ST12000NM0008,1.20001E+13,0,100,0,91,8263,100,2,100,0,61,39,2,75162352,200,0,100,55745060664,100,1.42573E+11
